Date,Filename,# of mice,# samples per mice,pressure
1.16.19,SC_2637,1,6,10
,SC_2640,1,,12
,SC_2643,1,,15
,SC_2646,1,,17
,SC_2649,1,,20
,SC_2661,1,,10
,,,,
1.17.19-1,SC_2766,2,6,10
,SC_2769,2,,12
,SC_2772,2,,15
,SC_2775,2,,17
,SC_2778,2,,20
,SC_2790,2,,10
,,,,
1.17.19-2,SC_2718,3,6,10
,SC_2721,3,,12
,SC_2724,3,,15
,SC_2727,3,,17
,SC_2730,3,,20
,SC_2742,3,,10
,,,,
10.20.17,d3#1OD_iop10_230,4,6,10
,d3#1OD_iop12_233,4,,12
,d3#1OD_iop15_236,4,,15
,d3#1OD_iop17_239,4,,17
,d3#1OD_iop20_242,4,,20
,d3#1OD_iop22_245,4,,22
,d3#2OD_iop10_257,5,7,10
,d3#2OD_iop12_260,5,,12
,d3#2OD_iop15_263,5,,15
,d3#2OD_iop17_266,5,,17
,d3#2OD_iop20_269,5,,20
,d3#2OD_iop22_272,5,,22
,d3#2OD_iop25_275,5,,25
,,,,
1.31.17,SC_26,6,5,10
,SC_29,6,,12
,SC_32,6,,15
,SC_38,6,,20
,SC_50,6,,10
,,,,
2.14.19,IOP10_1511,7,5,10
,IOP12_1514,7,,12
,IOP15_1517,7,,15
,IOP17_1520,7,,17
,IOP20_1523,7,,20
,IOP10_1562,8,5,10
,IOP12_1565,8,,12
,IOP15_1568,8,,15
,IOP17_1571,8,,17
,IOP20_1574,8,,20
,,,,
2.15.19,iop10_1628,9,5,10
,iop12_1631,9,,12
,iop15_1634,9,,15
,iop17_1637,9,,17
,iop20_1640,9,,20
,iop10_1778,10,5,10
,iop12_1781,10,,12
,iop15_1784,10,,15
,iop17_1787,10,,17
,iop20_1790,10,,20
,,,,
4.9.18-1,sc_475,11,5,10
,sc_478,11,,12
,sc_481,11,,15
,sc_484,11,,17
,sc_487,11,,20
,,,,
4.8.18-2,sc_502,12,5,10
,sc_505,12,,12
,sc_508,12,,15
,sc_511,12,,17
,sc_514,12,,20
,,,,
4.11.17,sc_142,13,6,10
,sc_145,13,,12
,sc_148,13,,15
,sc_151,13,,17
,sc_154,13,,20
,sc_166,13,,10
,,,,
4.12.17-1,sc_214,14,5,10
,sc_217,14,,12
,sc_220,14,,15
,sc_223,14,,17
,sc_226,14,,20
,,,,
4.12.17-2,sc_190,15,5,10
,sc_193,15,,12
,sc_196,15,,15
,sc_199,15,,17
,sc_202,15,,20
,,,,
4.13.17-1,sc_262,16,5,10
,sc_265,16,,12
,sc_268,16,,15
,sc_271,16,,17
,274,16,,20
,,,,
4.13.17-2,sc_286,17,5,10
,sc_289,17,,12
,sc_292,17,,15
,sc_295,17,,17
,sc_298,17,,20
,,,,
4.19.18,iop10_29,18,5,10
,iop12_31,18,,12
,iop15_34,18,,15
,iop17_38,18,,17
,iop20_41,18,,20
,,,,
4.20.18,iop10_83,19,5,10
,iop12_86,19,,12
,iop15_89,19,,15
,iop17_92,19,,17
,iop20_95,19,,20
,iop10_110,20,5,10
,iop12_113,20,,12
,iop15_116,20,,15
,iop17_119,20,,17
,iop20_122,20,,20
,,,,
4.25.18,iop10_218,21,5,10
,iop12_221,21,,12
,iop15_224,21,,15
,iop17_227,21,,17
,iop20_230,21,,20
,,,,
4.26.18,iop10_332,22,5,10
,iop12_335,22,,12
,iop15_338,22,,15
,iop17_341,22,,17
,iop20_344,22,,20
,,,,
5.17.18,sc_1048,23,5,10
,sc_1051,23,,12
,sc_1054,23,,15
,sc_1057,23,,17
,sc_1060,23,,20
,,,,
5.18.19,sc_1102,24,5,10
,sc_1105,24,,12
,sc_1108,24,,15
,sc_1111,24,,17
,sc_1114,24,,20
,,,,
6.21.18,iop10_461,25,5,10
,iop12_464,25,,12
,iop15_467,25,,15
,iop17_470,25,,17
,iop20_473,25,,20
,iop10_569,26,5,10
,iop12_572,26,,12
,iop15_575,26,,15
,iop17_578,26,,17
,iop20_581,26,,20
,,,,
6.22.18,iop10_650,27,5,10
,iop12_653,27,,12
,iop15_656,27,,15
,iop17_659,27,,17
,iop20_662,27,,20
,,,,
8.2.18,iop10_896,28,5,10
,iop12_899,28,,12
,iop15_902,28,,15
,iop17_905,28,,17
,iop120_908,28,,20
,,,,
8.3.18,iop10_992,29,5,10
,iop12_995,29,,12
,iop15_998,29,,15
,iop17_1001,29,,17
,iop20_1004,29,,20
,,,,
12.6.18,sc_2466,30,5,10
,sc_2469,30,,12
,sc_2472,30,,15
,sc_2475,30,,17
,sc_2478,30,,20
,,,,
12.6.18-1,sc_2394,31,5,10
,sc_2397,31,,12
,sc_2400,31,,15
,sc_2403,31,,17
,sc_2406,31,,20
,,,,
12.17.18,sc_2580,32,5,10
,sc_2583,32,,12
,sc_2586,32,,15
,sc_2589,32,,17
,sc_2592,32,,20
